Epoch	Loss	Accuracy
1	1.1245629852566115	0.469
2	0.9999733866159012	0.502
3	0.999788366846173	0.503
4	0.9992928494679006	0.505
5	0.9983471218179905	0.496
6	0.9968294196961579	0.508
7	0.9946407817193446	0.509
8	0.9917089945997691	0.516
9	0.98799147206083	0.512
10	0.9834769526175638	0.513
11	0.9781859485365136	0.514
12	0.9721699280763918	0.515
13	0.965509263611023	0.516
14	0.9583100274364292	0.517
15	0.9506997630031181	0.517
16	0.9428224001611973	0.518
17	0.9348325171314483	0.519
18	0.9268891779594634	0.523
19	0.9191495911341029	0.521
20	0.9117628421811457	0.522
21	0.9048639500938415	0.522
22	0.8985684845517283	0.523
23	0.8929679585222097	0.524
24	0.8881261799273308	0.526
25	0.8840767078232832	0.527
26	0.8808215145067373	0.528
27	0.878330906885597	0.529
28	0.8765447102488803	0.531
29	0.8753746672425536	0.532
30	0.8747079564117248	0.534
31	0.8744116900360215	0.535
32	0.87433821194365	0.537
33	0.8743309840970098	0.539
34	0.8742308272702676	0.541
35	0.8738822670227722	0.542
36	0.8731397319743758	0.543
37	0.871873357276983	0.545
38	0.8699741619162326	0.546
39	0.8673583934406297	0.548
40	0.863970866907492	0.549
41	0.8597871649324677	0.552
42	0.8548146111335955	0.551
43	0.8490919781617656	0.552
44	0.8426879419574822	0.553
45	0.8356983438578353	0.554
46	0.8282423697048352	0.555
47	0.8204577982820049	0.556
48	0.8124955085090673	0.556
49	0.8045134643755404	0.557
50	0.7966704174149615	0.558
51	0.7891195777822126	0.559
52	0.7820025062481292	0.563
53	0.775443470618287	0.561
54	0.7695444915677438	0.562
55	0.7643812753986702	0.563
56	0.7600001958689859	0.564
57	0.7564164454169737	0.565
58	0.7536134294867065	0.567
59	0.7515434281006259	0.568
60	0.7501294983044575	0.569
61	0.7492685416399913	0.571
62	0.7488354143552635	0.572
63	0.7486879164910338	0.574
64	0.7486724609444227	0.576
65	0.7486301965020308	0.577
66	0.7484033407365328	0.579
67	0.7478414702941445	0.582
68	0.746807517799049	0.582
69	0.7451832362971299	0.583
70	0.7428739133888821	0.585
71	0.7398121471138974	0.586
72	0.7359605330543272	0.587
73	0.7313131555309855	0.588
74	0.72589582344281	0.589
75	0.7197650413475063	0.591
76	0.7130057568031423	0.591
77	0.705727973777076	0.592
78	0.698062367134914	0.593
79	0.6901550730459888	0.594
80	0.6821618629954463	0.595
81	0.682275963265214	0.597
82	0.6059104041332267	0.595
83	0.6112928494679006	0.596
84	0.6156665381925497	0.596
85	0.6186407817193446	0.596
86	0.619949899732081	0.593
87	0.6194769526175639	0.582
88	0.6172641873329775	0.596
89	0.613509263611023	0.596
90	0.6085475976046766	0.595
91	0.6028224001611974	0.595
92	0.596845086117135	0.588
93	0.5911495911341029	0.595
94	0.5862446768163205	0.594
95	0.5825684845517283	0.594
96	0.580449397646698	0.592
97	0.5800767078232831	0.598
98	0.5814837063534454	0.594
99	0.5845447102488802	0.591
100	0.5889862891480472	0.596
